link,newReference
http://dnd5e.wikidot.com/cleric:order,Order Domain
http://dnd5e.wikidot.com/cleric:protection,Protection Domain (UA)
http://dnd5e.wikidot.com/cleric:solidarity,Solidarity Domain (Amonkhet)
http://dnd5e.wikidot.com/cleric:strength,Strength Domain (Amonkhet)
http://dnd5e.wikidot.com/cleric:tempest,Tempest Domain
http://dnd5e.wikidot.com/cleric:trickery,Trickery Domain
http://dnd5e.wikidot.com/cleric:twilight,Twilight Domain (UA)
http://dnd5e.wikidot.com/cleric:unity-domain-ua,Unity Domain (UA)
http://dnd5e.wikidot.com/cleric:war,War Domain
http://dnd5e.wikidot.com/cleric:zeal,Zeal Domain (Amonkhet)
http://dnd5e.wikidot.com/druid:dreams,Circle of Dreams
http://dnd5e.wikidot.com/druid:land,Circle of the Land
http://dnd5e.wikidot.com/druid:moon,Circle of the Moon
http://dnd5e.wikidot.com/druid:shepherd,Circle of the Shepherd
http://dnd5e.wikidot.com/druid:spores,Circle of Spores
http://dnd5e.wikidot.com/druid:circle-of-stars-ua,Circle of Stars (UA)
http://dnd5e.wikidot.com/druid:twilight,Circle of Twilight (UA)
http://dnd5e.wikidot.com/druid:circle-of-wildlife-ua,Circle of Wildfire (UA)
http://dnd5e.wikidot.com/fighter:arcane-archer,Arcane Archer
http://dnd5e.wikidot.com/fighter:banneret,Banneret
http://dnd5e.wikidot.com/fighter:brute,Brute (UA)
http://dnd5e.wikidot.com/fighter:battle-master,Battle Master
http://dnd5e.wikidot.com/fighter:cavalier,Cavalier
http://dnd5e.wikidot.com/fighter:champion,Champion
http://dnd5e.wikidot.com/fighter:eldritch-knight,Eldritch Knight
http://dnd5e.wikidot.com/fighter:monster-hunter,Monster Hunter (UA)
http://dnd5e.wikidot.com/fighter:rune-knight,Rune Knight (UA)
http://dnd5e.wikidot.com/fighter:samurai,Samurai
http://dnd5e.wikidot.com/fighter:scout,Scout (UA)
http://dnd5e.wikidot.com/fighter:sharpshooter,Sharpshooter (UA)
http://dnd5e.wikidot.com/monk:way-of-mercy-ua,Way of Mercy (UA)
http://dnd5e.wikidot.com/monk:way-of-the-astral-self-ua,Way of the Astral Self (UA)
http://dnd5e.wikidot.com/monk:cobalt-soul,Way of the Cobalt Soul (HB)
http://dnd5e.wikidot.com/monk:drunken-master,Way of the Drunken Master
http://dnd5e.wikidot.com/monk:four-elements,Way of the Four Elements
http://dnd5e.wikidot.com/monk:kensei,Way of the Kensei
http://dnd5e.wikidot.com/monk:long-death,Way of the Long Death
http://dnd5e.wikidot.com/monk:open-hand,Way of the Open Hand
http://dnd5e.wikidot.com/monk:shadow,Way of Shadow
http://dnd5e.wikidot.com/monk:soul-knife,Way of the Soul Knife (UA)
http://dnd5e.wikidot.com/monk:sun-soul,Way of the Sun Soul
http://dnd5e.wikidot.com/monk:tranquility,Way of Tranquility (UA)
http://dnd5e.wikidot.com/paladin:ancients,Oath of the Ancients
http://dnd5e.wikidot.com/paladin:conquest,Oath of Conquest
http://dnd5e.wikidot.com/paladin:crown,Oath of the Crown
http://dnd5e.wikidot.com/paladin:devotion,Oath of Devotion
http://dnd5e.wikidot.com/paladin:redemption,Oath of Redemption
http://dnd5e.wikidot.com/paladin:treachery,Oath of Treachery (UA)
http://dnd5e.wikidot.com/paladin:vengeance,Oath of Vengeance
http://dnd5e.wikidot.com/paladin:oathbreaker,Oathbreaker
http://dnd5e.wikidot.com/ranger:beast-master,Beast Master Conclave
http://dnd5e.wikidot.com/ranger:fey-wanderer,Fey Wanderer (UA)
http://dnd5e.wikidot.com/ranger:gloom-stalker,Gloom Stalker Conclave
http://dnd5e.wikidot.com/ranger:horizon-walker,Horizon Walker Conclave
http://dnd5e.wikidot.com/ranger:hunter,Hunter Conclave
http://dnd5e.wikidot.com/ranger:monster-slayer,Monster Slayer Conclave
http://dnd5e.wikidot.com/ranger:primeval-guardian,Primeval Guardian Conclave (UA)
http://dnd5e.wikidot.com/ranger:swarmkeeper,Swarmkeeper (UA)
http://dnd5e.wikidot.com/rogue:arcane-trickster,Arcane Trickster
http://dnd5e.wikidot.com/rogue:assassin,Assassin
http://dnd5e.wikidot.com/rogue:inquisitive,Inquisitive
http://dnd5e.wikidot.com/rogue:mastermind,Mastermind
http://dnd5e.wikidot.com/rogue:revived,Revived (UA)
http://dnd5e.wikidot.com/rogue:scout,Scout
http://dnd5e.wikidot.com/rogue:soulknife,Soulknife (UA)
http://dnd5e.wikidot.com/rogue:swashbuckler,Swashbuckler
http://dnd5e.wikidot.com/rogue:thief,Thief
http://dnd5e.wikidot.com/sorcerer:aberrant-mind-ua,Aberrant Mind (UA)
http://dnd5e.wikidot.com/sorcerer:clockwork-soul-ua,Clockwork Soul (UA)
http://dnd5e.wikidot.com/sorcerer:draconic-bloodline,Draconic Bloodline
http://dnd5e.wikidot.com/sorcerer:divine-soul,Divine Soul
http://dnd5e.wikidot.com/sorcerer:giant-soul,Giant Soul (UA)
http://dnd5e.wikidot.com/sorcerer:phoenix,Phoenix Sorcery
http://dnd5e.wikidot.com/sorcerer:pyromancy,Pyromancy (Kaladesh)
http://dnd5e.wikidot.com/sorcerer:runechild,Runechild (HB)
http://dnd5e.wikidot.com/sorcerer:sea,Sea Sorcery (UA)
http://dnd5e.wikidot.com/sorcerer:shadow,Shadow Magic
http://dnd5e.wikidot.com/sorcerer:stone,Stone Sorcery (UA)
http://dnd5e.wikidot.com/sorcerer:storm,Storm Sorcery
